BirdTree;BirdLife;eBird
Phylloscopus sibilatrix;Phylloscopus sibilatrix;Phylloscopus sibilatrix
Phylloscopus trochiloides;Phylloscopus plumbeitarsus;Phylloscopus plumbeitarsus
Piranga olivacea;Piranga olivacea;Piranga olivacea
Pitta versicolor;Pitta versicolor;Pitta versicolor
Polioptila caerulea;Polioptila caerulea;Polioptila caerulea
Pomatorhinus horsfieldii;Pomatorhinus horsfieldii;Pomatorhinus horsfieldii
Pomatostomus superciliosus;Pomatostomus superciliosus;Pomatostomus superciliosus
Psaltriparus minimus;Psaltriparus minimus;Psaltriparus minimus
Psophodes olivaceus;Psophodes olivaceus;Psophodes olivaceus
Ptiloris victoriae;Lophorina victoriae;Ptiloris victoriae
Pycnonotus cafer;Pycnonotus cafer;Pycnonotus cafer
Pycnonotus jocosus;Pycnonotus jocosus;Pycnonotus jocosus
Pycnonotus luteolus;Pycnonotus luteolus;Pycnonotus luteolus
Pyrocephalus rubinus;Pyrocephalus dubius;Pyrocephalus rubinus
Rhipidura fuliginosa;Rhipidura albiscapa;Rhipidura albiscapa
Rhipidura leucophrys;Rhipidura leucophrys;Rhipidura leucophrys
Rhipidura rufifrons;Rhipidura dryas;Rhipidura dryas
Rhipidura rufiventris;Rhipidura assimilis;Rhipidura rufiventris
Seiurus aurocapilla;Seiurus aurocapilla;Seiurus aurocapilla
Sericornis citreogularis;Sericornis citreogularis;Sericornis citreogularis
Sericornis frontalis;Sericornis frontalis;Sericornis frontalis
Sericornis magnirostra;Sericornis magnirostra;Sericornis magnirostra
Setophaga ruticilla;Setophaga ruticilla;Setophaga ruticilla
Sialia mexicana;Sialia mexicana;Sialia mexicana
Sialia sialis;Sialia sialis;Sialia sialis
Sitta carolinensis;Sitta carolinensis;Sitta carolinensis
Sitta europaea;Sitta arctica;Sitta europaea
Sitta frontalis;Sitta frontalis;Sitta frontalis
Smicrornis brevirostris;Smicrornis brevirostris;Smicrornis brevirostris
Sphecotheres vieilloti;Sphecotheres vieilloti;Sphecotheres vieilloti
Stagonopleura guttata;Stagonopleura guttata;Stagonopleura guttata
Strepera graculina;Strepera graculina;Strepera graculina
Strophocincla cachinnans;Montecincla cachinnans;Montecincla cachinnans
Sylvia atricapilla;Sylvia atricapilla;Sylvia atricapilla
Taeniopygia guttata;Taeniopygia castanotis;Taeniopygia guttata
Tarsiger indicus;Tarsiger indicus;Tarsiger indicus
Tarsiger johnstoniae;Tarsiger johnstoniae;Tarsiger johnstoniae
Terpsiphone paradisi;Terpsiphone affinis;Terpsiphone affinis
Thryomanes bewickii;Thryomanes bewickii;Thryomanes bewickii
Tregellasia capito;Tregellasia capito;Tregellasia capito
Troglodytes troglodytes;Troglodytes hiemalis;Troglodytes hiemalis
Turdoides affinis;Turdoides affinis;Argya affinis
Turdoides striata;Turdoides somervillei;Argya striata
Turdus merula;Turdus mandarinus;Turdus mandarinus
Turdus philomelos;Turdus philomelos;Turdus philomelos
Tyrannus vociferans;Tyrannus vociferans;Tyrannus vociferans
Vermivora luciae;Leiothlypis luciae;Leiothlypis luciae
Vireo gilvus;Vireo gilvus;Vireo gilvus
Vireo olivaceus;Vireo chivi;Vireo chivi
Vireo philadelphicus;Vireo philadelphicus;Vireo philadelphicus
Vireo solitarius;Vireo solitarius;Vireo solitarius
Xanthotis macleayanus;Xanthotis macleayanus;Xanthotis macleayanus
Yuhina brunneiceps;Yuhina brunneiceps;Yuhina brunneiceps
Zoothera lunulata;Zoothera lunulata;Zoothera lunulata
Zosterops japonicus;Zosterops japonicus;Zosterops japonicus
Zosterops lateralis;Zosterops lateralis;Zosterops lateralis
Zosterops luteus;Zosterops luteus;Zosterops luteus
Zosterops palpebrosus;Zosterops auriventer;Zosterops auriventer
