occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Pachycephala rufiventris","Pachycephala rufiventris (Latham, 1802)","5959190","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala rufiventris","Pachycephala rufiventris","(Latham, 1802) ","5959190",
,"Pardalotus punctatus","Pardalotus punctatus (Shaw, 1792)","2486622","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pardalotidae","Pardalotus","Pardalotus punctatus","Pardalotus punctatus","(Shaw, 1792) ","2486622",
,"Pardalotus striatus","Pardalotus striatus (Gmelin, 1789)","2486621","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pardalotidae","Pardalotus","Pardalotus striatus","Pardalotus striatus","(Gmelin, 1789) ","2486621",
,"Petroica goodenovii","Petroica goodenovii (Vigors & Horsfield, 1827)","2489322","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Petroica","Petroica goodenovii","Petroica goodenovii","(Vigors & Horsfield, 1827) ","2489322",
,"Philemon citreogularis","Philemon citreogularis (Gould, 1837)","2487057","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Philemon","Philemon citreogularis","Philemon citreogularis","(Gould, 1837) ","2487057",
,"Philemon corniculatus","Philemon corniculatus (Latham, 1790)","2487086","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Philemon","Philemon corniculatus","Philemon corniculatus","(Latham, 1790) ","2487086",
,"Phylidonyris novaehollandiae","Phylidonyris novaehollandiae (Latham, 1790)","2487015","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Phylidonyris","Phylidonyris novaehollandiae","Phylidonyris novaehollandiae","(Latham, 1790) ","2487015",
,"Rhipidura fuliginosa","Rhipidura fuliginosa (Sparrman, 1787)","5231730","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura fuliginosa","Rhipidura fuliginosa","(Sparrman, 1787) ","5231730",
,"Sericornis frontalis","Sericornis frontalis (Vigors & Horsfield, 1827)","2486602","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Sericornis","Sericornis frontalis","Sericornis frontalis","(Vigors & Horsfield, 1827) ","2486602",
,"Smicrornis brevirostris","Smicrornis brevirostris (Gould, 1838)","2486541","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Smicrornis","Smicrornis brevirostris","Smicrornis brevirostris","(Gould, 1838) ","2486541",
,"Strepera graculina","Strepera graculina (Shaw, 1790)","2489448","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cracticidae","Strepera","Strepera graculina","Strepera graculina","(Shaw, 1790) ","2489448",
,"Zosterops lateralis","Zosterops lateralis (Latham, 1802)","2489396","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Zosterops","Zosterops lateralis","Zosterops lateralis","(Latham, 1802) ","2489396",
,"Acanthiza chrysorrhoa","Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)","5230400","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa","(Quoy & Gaimard, 1830) ","5230400",
,"Acanthiza lineata","Acanthiza lineata Gould, 1838","5230401","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza lineata","Acanthiza lineata","Gould, 1838","5230401",
,"Acanthiza pusilla","Acanthiza pusilla (Shaw, 1790)","5230402","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza pusilla","Acanthiza pusilla","(Shaw, 1790) ","5230402",
,"Acanthiza reguloides","Acanthiza reguloides Vigors & Horsfield, 1827","5230407","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza reguloides","Acanthiza reguloides","Vigors & Horsfield, 1827","5230407",
,"Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris (Latham, 1801)","5230466","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Acanthorhynchus","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris","(Latham, 1801) ","5230466",
,"Anthochaera carunculata","Anthochaera carunculata (Shaw, 1790)","2487144","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Anthochaera carunculata","Anthochaera carunculata","(Shaw, 1790) ","2487144",
,"Artamus cyanopterus","Artamus cyanopterus (Latham, 1802)","5230392","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Artamidae","Artamus","Artamus cyanopterus","Artamus cyanopterus","(Latham, 1802) ","5230392",
,"Artamus superciliosus","Artamus superciliosus (Gould, 1837)","5230390","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Artamidae","Artamus","Artamus superciliosus","Artamus superciliosus","(Gould, 1837) ","5230390",
,"Cormobates leucophaea","Cormobates leucophaea (Latham, 1802)","2494108","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Climacteridae","Cormobates","Cormobates leucophaea","Cormobates leucophaea","(Latham, 1802) ","2494108",
,"Climacteris picumnus","Climacteris picumnus Temminck, 1824","2494126","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Climacteridae","Climacteris","Climacteris picumnus","Climacteris picumnus","Temminck, 1824","2494126",
,"Colluricincla harmonica","Colluricincla harmonica (Latham, 1802)","2482357","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Colluricincla","Colluricincla harmonica","Colluricincla harmonica","(Latham, 1802) ","2482357",
,"Coracina novaehollandiae","Coracina novaehollandiae (Gmelin, 1789)","2486761","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Campephagidae","Coracina","Coracina novaehollandiae","Coracina novaehollandiae","(Gmelin, 1789) ","2486761",
,"Corcorax melanorhamphos","Corcorax melanoramphos (Vieillot, 1817)","5845081","FUZZY","98","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corcoracidae","Corcorax","Corcorax melanoramphos","Corcorax melanoramphos","(Vieillot, 1817) ","5845081",
,"Daphoenositta chrysoptera","Daphoenositta chrysoptera (Latham, 1802)","2487489","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Neosittidae","Daphoenositta","Daphoenositta chrysoptera","Daphoenositta chrysoptera","(Latham, 1802) ","2487489",
,"Dicaeum hirundinaceum","Dicaeum hirundinaceum (Shaw, 1792)","2484700","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Dicaeidae","Dicaeum","Dicaeum hirundinaceum","Dicaeum hirundinaceum","(Shaw, 1792) ","2484700",
,"Stagonopleura guttata","Stagonopleura guttata (Shaw, 1796)","2493733","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Stagonopleura","Stagonopleura guttata","Stagonopleura guttata","(Shaw, 1796) ","2493733",
,"Eopsaltria australis","Eopsaltria australis (Shaw, 1790)","2489301","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Eopsaltria","Eopsaltria australis","Eopsaltria australis","(Shaw, 1790) ","2489301",
,"Falcunculus frontatus","Falcunculus frontatus (Latham, 1802)","2482606","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Falcunculus","Falcunculus frontatus","Falcunculus frontatus","(Latham, 1802) ","2482606",
,"Gerygone olivacea","Gerygone olivacea (Gould, 1838)","2486553","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone olivacea","Gerygone olivacea","(Gould, 1838) ","2486553",
,"Gymnorhina tibicen","Gymnorhina tibicen (Latham, 1802)","2489450","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cracticidae","Gymnorhina","Gymnorhina tibicen","Gymnorhina tibicen","(Latham, 1802) ","2489450",
,"Lichenostomus fuscus","Lichenostomus fuscus (Gould, 1837)","2486883","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Ptilotula","Ptilotula fusca","Lichenostomus fuscus","(Gould, 1837) ","2486883","7868408"
,"Malurus cyaneus","Malurus cyaneus (Ellis, 1782)","2487516","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus cyaneus","Malurus cyaneus","(Ellis, 1782) ","2487516",
,"Melithreptus brevirostris","Melithreptus brevirostris (Vigors & Horsfield, 1827)","5230485","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Melithreptus","Melithreptus brevirostris","Melithreptus brevirostris","(Vigors & Horsfield, 1827) ","5230485",
,"Melithreptus lunatus","Melithreptus lunatus (Vieillot, 1802)","5230482","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Melithreptus","Melithreptus lunatus","Melithreptus lunatus","(Vieillot, 1802) ","5230482",
,"Myiagra inquieta","Myiagra inquieta (Latham, 1802)","2486651","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Myiagra","Myiagra inquieta","Myiagra inquieta","(Latham, 1802) ","2486651",
,"Myzomela sanguinolenta","Myzomela sanguinolenta (Latham, 1801)","2487319","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Myzomela","Myzomela sanguinolenta","Myzomela sanguinolenta","(Latham, 1801) ","2487319",
,"Pachycephala pectoralis","Pachycephala pectoralis (Latham, 1802)","5959188","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala pectoralis","Pachycephala pectoralis","(Latham, 1802) ","5959188",
,"Pachycephala rufiventris","Pachycephala rufiventris (Latham, 1802)","5959190","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala rufiventris","Pachycephala rufiventris","(Latham, 1802) ","5959190",
,"Pardalotus punctatus","Pardalotus punctatus (Shaw, 1792)","2486622","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pardalotidae","Pardalotus","Pardalotus punctatus","Pardalotus punctatus","(Shaw, 1792) ","2486622",
,"Pardalotus striatus","Pardalotus striatus (Gmelin, 1789)","2486621","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pardalotidae","Pardalotus","Pardalotus striatus","Pardalotus striatus","(Gmelin, 1789) ","2486621",
,"Petroica multicolor","Petroica multicolor (Gmelin, 1789)","2489315","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Petroica","Petroica multicolor","Petroica multicolor","(Gmelin, 1789) ","2489315",
,"Philemon corniculatus","Philemon corniculatus (Latham, 1790)","2487086","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Philemon","Philemon corniculatus","Philemon corniculatus","(Latham, 1790) ","2487086",
,"Rhipidura fuliginosa","Rhipidura fuliginosa (Sparrman, 1787)","5231730","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura fuliginosa","Rhipidura fuliginosa","(Sparrman, 1787) ","5231730",
,"Rhipidura leucophrys","Rhipidura leucophrys (Latham, 1802)","5231722","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura leucophrys","Rhipidura leucophrys","(Latham, 1802) ","5231722",
,"Chthonicola sagittatus","Chthonicola sagittatus (Latham, 1802)","2486614","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Pyrrholaemus","Pyrrholaemus sagittatus","Chthonicola sagittatus","(Latham, 1802) ","2486614","4846358"
,"Zosterops lateralis","Zosterops lateralis (Latham, 1802)","2489396","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Zosterops","Zosterops lateralis","Zosterops lateralis","(Latham, 1802) ","2489396",
,"Acanthiza chrysorrhoa","Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)","5230400","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa","(Quoy & Gaimard, 1830) ","5230400",
,"Acanthiza lineata","Acanthiza lineata Gould, 1838","5230401","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza lineata","Acanthiza lineata","Gould, 1838","5230401",
,"Acanthiza pusilla","Acanthiza pusilla (Shaw, 1790)","5230402","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza pusilla","Acanthiza pusilla","(Shaw, 1790) ","5230402",
,"Acanthiza reguloides","Acanthiza reguloides Vigors & Horsfield, 1827","5230407","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza reguloides","Acanthiza reguloides","Vigors & Horsfield, 1827","5230407",
,"Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris (Latham, 1801)","5230466","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Acanthorhynchus","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris","(Latham, 1801) ","5230466",
,"Anthochaera carunculata","Anthochaera carunculata (Shaw, 1790)","2487144","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Anthochaera carunculata","Anthochaera carunculata","(Shaw, 1790) ","2487144",
,"Artamus cyanopterus","Artamus cyanopterus (Latham, 1802)","5230392","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Artamidae","Artamus","Artamus cyanopterus","Artamus cyanopterus","(Latham, 1802) ","5230392",
,"Climacteris erythrops","Climacteris erythrops Gould, 1841","2494121","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Climacteridae","Climacteris","Climacteris erythrops","Climacteris erythrops","Gould, 1841","2494121",
,"Cormobates leucophaea","Cormobates leucophaea (Latham, 1802)","2494108","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Climacteridae","Cormobates","Cormobates leucophaea","Cormobates leucophaea","(Latham, 1802) ","2494108",
,"Colluricincla harmonica","Colluricincla harmonica (Latham, 1802)","2482357","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Colluricincla","Colluricincla harmonica","Colluricincla harmonica","(Latham, 1802) ","2482357",
,"Coracina novaehollandiae","Coracina novaehollandiae (Gmelin, 1789)","2486761","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Campephagidae","Coracina","Coracina novaehollandiae","Coracina novaehollandiae","(Gmelin, 1789) ","2486761",
,"Corcorax melanorhamphos","Corcorax melanoramphos (Vieillot, 1817)","5845081","FUZZY","98","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corcoracidae","Corcorax","Corcorax melanoramphos","Corcorax melanoramphos","(Vieillot, 1817) ","5845081",
,"Eopsaltria australis","Eopsaltria australis (Shaw, 1790)","2489301","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Eopsaltria","Eopsaltria australis","Eopsaltria australis","(Shaw, 1790) ","2489301",
,"Falcunculus frontatus","Falcunculus frontatus (Latham, 1802)","2482606","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Falcunculus","Falcunculus frontatus","Falcunculus frontatus","(Latham, 1802) ","2482606",
,"Gymnorhina tibicen","Gymnorhina tibicen (Latham, 1802)","2489450","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cracticidae","Gymnorhina","Gymnorhina tibicen","Gymnorhina tibicen","(Latham, 1802) ","2489450",
,"Malurus cyaneus","Malurus cyaneus (Ellis, 1782)","2487516","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus cyaneus","Malurus cyaneus","(Ellis, 1782) ","2487516",
,"Lichenostomus chrysops","Lichenostomus chrysops (Latham, 1801)","2486916","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Caligavis","Caligavis chrysops","Lichenostomus chrysops","(Latham, 1801) ","2486916","8197121"
,"Lichenostomus leucotis","Lichenostomus leucotis (Latham, 1801)","2486886","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Nesoptilotis","Nesoptilotis leucotis","Lichenostomus leucotis","(Latham, 1801) ","2486886","7945392"
,"Melithreptus brevirostris","Melithreptus brevirostris (Vigors & Horsfield, 1827)","5230485","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Melithreptus","Melithreptus brevirostris","Melithreptus brevirostris","(Vigors & Horsfield, 1827) ","5230485",
,"Melithreptus lunatus","Melithreptus lunatus (Vieillot, 1802)","5230482","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Melithreptus","Melithreptus lunatus","Melithreptus lunatus","(Vieillot, 1802) ","5230482",
,"Menura novaehollandiae","Menura novaehollandiae Latham, 1802","2488980","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura novaehollandiae","Menura novaehollandiae","Latham, 1802","2488980",
,"Monarcha melanopsis","Monarcha melanopsis (Vieillot, 1818)","5230438","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Monarcha","Monarcha melanopsis","Monarcha melanopsis","(Vieillot, 1818) ","5230438",
,"Myiagra cyanoleuca","Myiagra cyanoleuca (Vieillot, 1818)","2486637","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Myiagra","Myiagra cyanoleuca","Myiagra cyanoleuca","(Vieillot, 1818) ","2486637",
,"Daphoenositta chrysoptera","Daphoenositta chrysoptera (Latham, 1802)","2487489","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Neosittidae","Daphoenositta","Daphoenositta chrysoptera","Daphoenositta chrysoptera","(Latham, 1802) ","2487489",
,"Pachycephala pectoralis","Pachycephala pectoralis (Latham, 1802)","5959188","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala pectoralis","Pachycephala pectoralis","(Latham, 1802) ","5959188",
,"Pachycephala rufiventris","Pachycephala rufiventris (Latham, 1802)","5959190","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala rufiventris","Pachycephala rufiventris","(Latham, 1802) ","5959190",
,"Pardalotus punctatus","Pardalotus punctatus (Shaw, 1792)","2486622","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pardalotidae","Pardalotus","Pardalotus punctatus","Pardalotus punctatus","(Shaw, 1792) ","2486622",
,"Pardalotus striatus","Pardalotus striatus (Gmelin, 1789)","2486621","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pardalotidae","Pardalotus","Pardalotus striatus","Pardalotus striatus","(Gmelin, 1789) ","2486621",
,"Petroica multicolor","Petroica multicolor (Gmelin, 1789)","2489315","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Petroica","Petroica multicolor","Petroica multicolor","(Gmelin, 1789) ","2489315",
,"Petroica phoenicea","Petroica phoenicea Gould, 1837","2489321","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Petroica","Petroica phoenicea","Petroica phoenicea","Gould, 1837","2489321",
,"Petroica rosea","Petroica rosea Gould, 1840","2489320","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Petroica","Petroica rosea","Petroica rosea","Gould, 1840","2489320",
,"Phylidonyris pyrrhopterus","Phylidonyris pyrrhopterus (Latham, 1801)","2487011","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Phylidonyris","Phylidonyris pyrrhopterus","Phylidonyris pyrrhopterus","(Latham, 1801) ","2487011",
,"Psophodes olivaceus","Psophodes olivaceus (Latham, 1802)","2495057","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Psophodidae","Psophodes","Psophodes olivaceus","Psophodes olivaceus","(Latham, 1802) ","2495057",
,"Rhipidura fuliginosa","Rhipidura fuliginosa (Sparrman, 1787)","5231730","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura fuliginosa","Rhipidura fuliginosa","(Sparrman, 1787) ","5231730",
,"Rhipidura rufifrons","Rhipidura rufifrons (Latham, 1802)","5231742","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Rhipidura rufifrons","Rhipidura rufifrons","(Latham, 1802) ","5231742",
,"Sericornis frontalis","Sericornis frontalis (Vigors & Horsfield, 1827)","2486602","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Sericornis","Sericornis frontalis","Sericornis frontalis","(Vigors & Horsfield, 1827) ","2486602",
,"Zoothera lunulata","Zoothera lunulata (Latham, 1802)","2490897","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Zoothera","Zoothera lunulata","Zoothera lunulata","(Latham, 1802) ","2490897",
,"Zosterops lateralis","Zosterops lateralis (Latham, 1802)","2489396","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Zosterops","Zosterops lateralis","Zosterops lateralis","(Latham, 1802) ","2489396",
,"Acanthiza chrysorrhoa","Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)","5230400","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa","(Quoy & Gaimard, 1830) ","5230400",
,"Acanthorhynchus superciliosus","Acanthorhynchus superciliosus Gould, 1837","5230471","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Acanthorhynchus","Acanthorhynchus superciliosus","Acanthorhynchus superciliosus","Gould, 1837","5230471",
,"Acanthiza apicalis","Acanthiza apicalis Gould, 1847","7341406","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza apicalis","Acanthiza apicalis","Gould, 1847","7341406",
,"Acanthiza inornata","Acanthiza inornata Gould, 1841","5230408","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza inornata","Acanthiza inornata","Gould, 1841","5230408",
,"Anthochaera chrysoptera","Anthochaera chrysoptera (Latham, 1801)","2487149","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Anthochaera chrysoptera","Anthochaera chrysoptera","(Latham, 1801) ","2487149",
,"Artamus cyanopterus","Artamus cyanopterus (Latham, 1802)","5230392","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Artamidae","Artamus","Artamus cyanopterus","Artamus cyanopterus","(Latham, 1802) ","5230392",
,"Climacteris rufus","Climacteris rufus Gould, 1841","2494133","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Climacteridae","Climacteris","Climacteris rufus","Climacteris rufus","Gould, 1841","2494133",
,"Colluricincla harmonica","Colluricincla harmonica (Latham, 1802)","2482357","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Colluricincla","Colluricincla harmonica","Colluricincla harmonica","(Latham, 1802) ","2482357",
,"Daphoenositta chrysoptera","Daphoenositta chrysoptera (Latham, 1802)","2487489","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Neosittidae","Daphoenositta","Daphoenositta chrysoptera","Daphoenositta chrysoptera","(Latham, 1802) ","2487489",
,"Eopsaltria griseogularis","Eopsaltria griseogularis Gould, 1838","2489305","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Eopsaltria","Eopsaltria griseogularis","Eopsaltria griseogularis","Gould, 1838","2489305",
,"Gerygone fusca","Gerygone fusca (Gould, 1838)","2486563","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Gerygone","Gerygone fusca","Gerygone fusca","(Gould, 1838) ","2486563",
,"Lichenostomus ornatus","Lichenostomus ornatus (Gould, 1838)","2486890","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Ptilotula","Ptilotula ornata","Lichenostomus ornatus","(Gould, 1838) ","2486890","7823655"
,"Lichmera indistincta","Lichmera indistincta (Vigors & Horsfield, 1827)","2487341","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Lichmera","Lichmera indistincta","Lichmera indistincta","(Vigors & Horsfield, 1827) ","2487341",
,"Malurus pulcherrimus","Malurus pulcherrimus Gould, 1844","2487501","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus pulcherrimus","Malurus pulcherrimus","Gould, 1844","2487501",
,"Malurus splendens","Malurus splendens (Quoy & Gaimard, 1830)","2487511","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Maluridae","Malurus","Malurus splendens","Malurus splendens","(Quoy & Gaimard, 1830) ","2487511",
,"Melanodryas cucullata","Melanodryas cucullata (Latham, 1802)","2489290","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Melanodryas","Melanodryas cucullata","Melanodryas cucullata","(Latham, 1802) ","2489290",
,"Melithreptus lunatus","Melithreptus lunatus (Vieillot, 1802)","5230482","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Melithreptus","Melithreptus lunatus","Melithreptus lunatus","(Vieillot, 1802) ","5230482",
