Sp_eBird
Abeillia abeillei
Aethopyga siparaja
Aethopyga temminckii
Aethopyga vigorsii
Afropavo congensis
Eupodotis afra
Eupodotis afraoides
Agamia agami
Agapornis canus
Agapornis fischeri
Agapornis lilianae
Agapornis nigrigenis
Agapornis personatus
Agapornis pullarius
Agapornis roseicollis
Agapornis swindernianus
Agapornis taranta
Agelaioides badius
Agelaioides fringillarius
Agelaius assimilis
Agelaius humeralis
Agelaius phoeniceus
Agelaius tricolor
Agelaius xanthomus
Agelastes meleagrides
Agelastes niger
Agelasticus cyanopus
Agelasticus thilius
Agelasticus xanthophthalmus
Aglaeactis aliciae
Aglaeactis castelnaudii
Aglaeactis cupripennis
Aglaeactis pamela
Aglaiocercus berlepschi
Aglaiocercus coelestis
Aglaiocercus kingii
Agraphospiza rubescens
Agricola infuscatus
Agricola pallidus
Agriornis albicauda
Agriornis lividus
Agriornis micropterus
Agriornis montanus
Agriornis murinus
Agropsar philippensis
Agropsar sturninus
Ailuroedus buccoides
Ailuroedus geislerorum
Ailuroedus stonii
Ailuroedus crassirostris
Ailuroedus arfakianus
Ailuroedus astigmaticus
Ailuroedus jobiensis
Ailuroedus maculosus
Ailuroedus melanocephalus
Ailuroedus melanotis
Aimophila notosticta
Aimophila rufescens
Aimophila ruficeps
Aix galericulata
Aix sponsa
Akletos goeldii
Akletos melanoceps
Alaemon alaudipes
Alaemon hamertoni
Alauda arvensis
Alauda gulgula
Alauda leucoptera
Alauda razae
Alaudala raytal
Alaudala cheleensis
Alaudala heinei
Alaudala rufescens
Alaudala somalica
Alca torda
Alcedo atthis
Alcedo coerulescens
Alcedo euryzona
Alcedo hercules
Alcedo meninting
Alcedo euryzona
Alcedo quadribrachys
Alcedo semitorquata
Alcippe brunneicauda
Alcippe grotei
Alcippe davidi
Alcippe fratercula
Alcippe hueti
Alcippe morrisonia
Alcippe sp.
Alcippe nipalensis
Alcippe peracensis
Alcippe poioicephala
Alcippe pyrrhoptera
Pycnonotus striatus
Aleadryas rufinucha
Alectoris barbara
Alectoris chukar
Alectoris graeca
Alectoris magna
Alectoris melanocephala
Alectoris philbyi
Alectoris rufa
Alectroenas madagascariensis
Alectroenas pulcherrimus
Alectroenas sganzini
Alectrurus risora
Alectrurus tricolor
Alectura lathami
Alethe castanea
Alethe diademata
Psittacula eques
Psittacula krameri
Alipiopsitta xanthops
Alisterus amboinensis
Alisterus chloropterus
Alisterus scapularis
Alle alle
Allenia fusca
Alopecoenas beccarii
Alopecoenas canifrons
Alopecoenas erythropterus
Alopecoenas hoedtii
Alopecoenas jobiensis
Alopecoenas beccarii
Alopecoenas kubaryi
Alopecoenas rubescens
Alopecoenas sanctaecrucis
Alopecoenas stairi
Alopecoenas xanthonurus
Alophoixus bres
Alophoixus flaveolus
Alophoixus frater
Alophoixus pallidus
Alophoixus ochraceus
Alophoixus pallidus
Alophoixus phaeocephalus
Alophoixus ruficrissus
Alophoixus tephrogenys
Alopochelidon fucata
Alopochen aegyptiaca
Amadina erythrocephala
Amadina fasciata
Amalocichla incerta
Amalocichla sclateriana
Amandava amandava
Amandava formosa
Amandava subflava
Motacilla bocagii
Amaurolimnas concolor
Poliolimnas cinereus
Amaurornis isabellina
Amaurornis magnirostris
Amaurornis marginalis
Amaurornis moluccana
Amaurornis olivacea
Amaurornis phoenicurus
Amaurospiza carrizalensis
Amaurospiza concolor
Amaurospiza moesta
Amaurospiza concolor
NA
Polyerata amabilis
Amazilis amazilia
Chionomesa lactea
Saucerottia beryllina
Amazilia boucardi
Chrysuronia brevirostris
Chlorestes candida
Saucerottia castaneiventris
Elliotomyia chionogaster
Hylocharis chrysura
Chrysuronia coeruleogularis
Saucerottia viridigaster
Saucerottia cyanifrons
Saucerottia cyanocephala
Saucerottia cyanura
Chlorestes cyanus
Polyerata decora
Saucerottia edward
Chlorestes eliciae
Chionomesa fimbriata
Uranomitra franciae
Chrysuronia goudoti
Chrysuronia grayi
Chrysuronia humboldtii
Chlorestes julie
Chionomesa lactea
Chrysuronia leucogaster
Chrysuronia lilliae
Amazilia luciae
Chrysuronia oenone
Polyerata rosenbergi
Amazilia rutila
Hylocharis sapphirina
Saucerottia hoffmanni
Saucerottia saucerottei
Saucerottia tobaci
Amazilia tzacatl
Chrysuronia versicolor
Leucolia violiceps
Elliotomyia viridicauda
Leucolia viridifrons
Saucerottia viridigaster
Leucolia viridifrons
Amazilia yucatanensis
Amazona aestiva
Amazona agilis
Amazona albifrons
Amazona amazonica
Amazona arausiaca
Amazona auropalliata
Amazona autumnalis
Amazona barbadensis
Amazona festiva
Amazona brasiliensis
Amazona collaria
Amazona autumnalis
Amazona dufresniana
Amazona farinosa
Amazona festiva
Amazona finschi
Amazona farinosa
Amazona guildingii
Amazona imperialis
Amazona kawalli
Amazona leucocephala
Amazona autumnalis
Amazona mercenarius
Amazona ochrocephala
Amazona oratrix
Amazona pretrei
Amazona rhodocorytha
Amazona tucumana
Amazona ventralis
Amazona versicolor
Amazona vinacea
Amazona viridigenalis
Amazona vittata
Amazona xantholora
Amazonetta brasiliensis
Amblycercus holosericeus
Amblyornis flavifrons
Amblyornis inornata
Amblyornis macgregoriae
Amblyornis subalaris
Amblyospiza albifrons
Amblyramphus holosericeus
Ammodramus aurifrons
Ammodramus humeralis
Ammodramus savannarum
Ammomanes cinctura
Ammomanes deserti
Ammomanes phoenicura
Ammomanopsis grayi
Ammonastes pelzelni
Ammoperdix griseogularis
Ammoperdix heyi
Ammospiza caudacuta
Ammospiza leconteii
Ammospiza maritima
Ammospiza nelsoni
Ampeliceps coronatus
Ampelioides tschudii
Ampelion rubrocristatus
Ampelion rufaxilla
Ampelornis griseiceps
Bradypterus seebohmi
Amphispiza bilineata
Amphispizopsis quinquestriata
Amytornis ballarae
Amytornis barbatus
Amytornis dorotheae
Amytornis goyderi
Amytornis housei
Amytornis merrotsyi
Amytornis modestus
Amytornis purnelli
Amytornis rowleyi
Amytornis striatus
Amytornis whitei
Amytornis textilis
Amytornis woodwardi
Anabacerthia amaurotis
Anabacerthia lichtensteini
Anabacerthia ruficaudata
Anabacerthia striaticollis
Anabacerthia variegaticeps
Anabathmis hartlaubii
Anabathmis newtonii
Anabathmis reichenbachii
Anabazenops dorsalis
Anabazenops fuscus
Anairetes alpinus
Anairetes fernandezianus
Anairetes flavirostris
Anairetes nigrocristatus
Anairetes parulus
Anairetes reguloides
Anaplectes rubriceps
Anaplectes rubriceps
Anaplectes rubriceps
Anarhynchus frontalis
Anas acuta
Anas albogularis
Anas andium
Anas aucklandica
Anas bahamensis
Anas bernieri
Anas capensis
Anas crecca
Anas castanea
Anas chlorotis
Anas crecca
Anas eatoni
Anas erythrorhyncha
Anas flavirostris
Anas diazi
Anas fulvigula
Anas georgica
Anas gibberifrons
Anas gracilis
Anas laysanensis
Anas luzonica
Anas melleri
Anas nesiotis
Anas platyrhynchos
Anas poecilorhyncha
Anas rubripes
Anas sparsa
Anas superciliosa
Anas undulata
Anas wyvilliana
Anas zonorhyncha
Anastomus lamelligerus
Anastomus oscitans
Ancistrops strigilatus
Andigena cucullata
Andigena hypoglauca
Andigena laminirostris
Andigena nigrirostris
Androdon aequatorialis
Andropadus importunus
Androphobus viridis
Anhima cornuta
Anhinga anhinga
Anhinga melanogaster
Anhinga novaehollandiae
Anhinga rufa
Anisognathus somptuosus
Anisognathus igniventris
Anisognathus lacrymosus
Anisognathus igniventris
Anisognathus melanogenys
Anisognathus notabilis
Anisognathus somptuosus
Anodorhynchus glaucus
Anodorhynchus hyacinthinus
Anodorhynchus leari
Anomalospiza imberbis
Anopetia gounellei
Anorrhinus austeni
Anorrhinus galeritus
Anorrhinus tickelli
Anous albivitta
Anous ceruleus
Anous minutus
Anous stolidus
Anous tenuirostris
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser canagicus
Anser cygnoides
Anser erythropus
Anser fabalis
Anser serrirostris
Anser indicus
Anser rossii
Anseranas semipalmata
Anthipes monileger
Anthipes solitaris
Anthobaphes violacea
Anthocephala berlepschi
Anthocephala floriceps
Anthochaera carunculata
Anthochaera chrysoptera
Anthochaera lunulata
Anthochaera paradoxa
Anthochaera phrygia
Anthornis melanura
Anthoscopus caroli
Anthoscopus flavifrons
Anthoscopus minutus
Anthoscopus musculus
Anthoscopus parvulus
Anthoscopus punctifrons
Anthoscopus caroli
Anthracoceros albirostris
Anthracoceros coronatus
Anthracoceros malayanus
Anthracoceros marchei
Anthracoceros montani
Anthracothorax dominicus
Anthracothorax dominicus
Anthracothorax mango
Anthracothorax nigricollis
Anthracothorax prevostii
Anthracothorax veraguensis
Anthracothorax viridigula
Anthracothorax viridis
Anthreptes anchietae
Anthreptes aurantius
Anthreptes gabonicus
Anthreptes griseigularis
Anthreptes longuemarei
Anthreptes malacensis
Anthreptes neglectus
Anthreptes orientalis
Anthreptes rectirostris
Anthreptes reichenowi
Anthreptes rhodolaemus
Anthreptes rubritorques
Anthreptes seimundi
Anthreptes simplex
Anthreptes rectirostris
Anthropoides paradiseus
Anthropoides virgo
Anthus antarcticus
Anthus berthelotii
Anthus bogotensis
Anthus brachyurus
Anthus caffer
Anthus campestris
Anthus cervinus
Anthus chacoensis
Anthus cinnamomeus
Anthus correndera
Anthus crenatus
Anthus furcatus
Anthus godlewskii
Anthus gustavi
Anthus gutturalis
Anthus hellmayri
Anthus hodgsoni
Anthus hoeschi
Anthus leucophrys
Anthus lineiventris
Anthus lutescens
Anthus melindae
Anthus nattereri
Anthus nilghiriensis
Anthus novaeseelandiae
Anthus nyassae
Anthus pallidiventris
Anthus peruvianus
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus roseatus
Anthus rubescens
Anthus rufulus
Anthus nicholsoni
Anthus similis
Anthus sokokensis
Anthus spinoletta
Anthus spragueii
Anthus sylvanus
Anthus trivialis
Anthus vaalensis
Antigone antigone
Antigone canadensis
Antigone rubicunda
Antigone vipio
Antilophia bokermanni
Antilophia galeata
Antrostomus arizonae
Antrostomus badius
Antrostomus carolinensis
Antrostomus cubanensis
Antrostomus cubanensis
Antrostomus noctitherus
Antrostomus ridgwayi
Antrostomus rufus
Antrostomus salvini
Antrostomus saturatus
Antrostomus sericocaudatus
Antrostomus vociferus
Anumara forbesi
Anumbius annumbi
Synoicus monorthonyx
Harpactes mackloti
Harpactes reinwardtii
Apalis alticola
Apalis argentea
Apalis bamendae
Apalis binotata
Apalis chapini
Apalis chariessa
Apalis chirindensis
Apalis cinerea
Apalis flavida
Apalis flavigularis
Apalis flavida
Apalis fuscigularis
Apalis goslingi
Apalis jacksoni
Apalis kaboboensis
Apalis karamojae
Apalis lynesi
Apalis melanocephala
Apalis nigriceps
Apalis personata
Apalis porphyrolaema
Apalis ruddi
Apalis rufogularis
Apalis sharpii
Apalis thoracica
Apaloderma aequatoriale
Apaloderma narina
Apaloderma vittatum
Apalopteron familiare
Aphanotriccus audax
Aphanotriccus capitalis
Eupetomena cirrochloris
Aphelocephala leucopsis
Aphelocephala nigricincta
Aphelocephala pectoralis
Aphelocoma californica
Aphelocoma insularis
Aphelocoma sp.
Aphelocoma woodhouseii
Aphelocoma coerulescens
Aphelocoma ultramarina
Aphelocoma unicolor
Aphelocoma wollweberi
Aphrastura masafuerae
Aphrastura spinicauda
Aphrodroma brevirostris
Aplonis atrifusca
Aplonis brunneicapillus
Aplonis cantoroides
Aplonis cinerascens
Aplonis metallica
Aplonis crassa
Aplonis dichroa
Aplonis feadensis
Aplonis grandis
Aplonis insularis
Aplonis magna
Aplonis metallica
Aplonis minor
Aplonis mysolensis
Aplonis mystacea
Aplonis opaca
Aplonis panayensis
Aplonis pelzelni
Aplonis santovestris
Aplonis striata
Aplonis tabuensis
Aplonis zelandica
Columba larvata
Aprositornis disjuncta
Aprosmictus erythropterus
Aprosmictus jonquillaceus
Aptenodytes forsteri
Aptenodytes patagonicus
Apteryx australis
Apteryx haastii
Apteryx mantelli
Apteryx owenii
Apteryx rowi
Apus acuticauda
Apus affinis
Apus alexandri
Apus apus
Apus balstoni
Apus barbatus
Apus batesi
Apus berliozi
Apus bradfieldi
Apus caffer
Apus horus
Apus niansae
Apus nipalensis
Apus cooki
Apus leuconyx
Apus pacificus
Apus salimalii
Apus pallidus
Apus barbatus
Apus unicolor
Aquila adalberti
Aquila africana
Aquila audax
Aquila chrysaetos
Aquila fasciata
Aquila gurneyi
Aquila heliaca
Aquila nipalensis
Aquila rapax
Aquila spilogaster
Aquila verreauxii
Ara ambiguus
Ara ararauna
Ara chloropterus
Ara glaucogularis
Ara macao
Ara militaris
Ara rubrogenys
Ara severus
Arachnothera affinis
Arachnothera everetti
Arachnothera sp.
Arachnothera chrysogenys
Arachnothera clarae
Arachnothera crassirostris
Arachnothera dilutior
Arachnothera flammifera
Arachnothera flavigaster
Arachnothera juliae
Arachnothera longirostra
Arachnothera magna
Arachnothera modesta
Arachnothera robusta
Aramides albiventris
Aramides axillaris
Aramides cajaneus
Aramides calopterus
Aramides mangle
Aramides saracura
Aramides wolfi
Aramides ypecaha
Aramidopsis plateni
Aramus guarauna
Aratinga auricapillus
Aratinga jandaya
Aratinga maculata
Aratinga nenday
Aratinga solstitialis
Aratinga weddellii
Arborophila ardens
Arborophila atrogularis
Arborophila brunneopectus
Arborophila cambodiana
Arborophila campbelli
Tropicoperdix charltonii
Tropicoperdix chloropus
Arborophila crudigularis
Arborophila davidi
Arborophila gingica
Tropicoperdix charltonii
Arborophila hyperythra
Arborophila javanica
Arborophila mandellii
Arborophila orientalis
Arborophila rolli
Arborophila rubrirostris
Arborophila rufipectus
Arborophila rufogularis
Arborophila sumatrana
Tropicoperdix chloropus
Arborophila torqueola
Arcanator orostruthus
Archboldia papuensis
Archilochus alexandri
Archilochus colubris
Ardea alba
Ardea intermedia
Ardea cinerea
Ardea cocoi
Ardea goliath
Ardea herodias
Ardea humbloti
Ardea insignis
Ardea intermedia
Ardea melanocephala
Ardea herodias
Ardea pacifica
Ardea intermedia
Ardea purpurea
Ardea sumatrana
Ardenna bulleri
Ardenna carneipes
Ardenna creatopus
Ardenna gravis
Ardenna grisea
Ardenna pacifica
Ardenna tenuirostris
Ardeola bacchus
Ardeola grayii
Ardeola idae
Ardeola ralloides
Ardeola rufiventris
Ardeola speciosa
Ardeotis arabs
Ardeotis australis
Ardeotis kori
Ardeotis nigriceps
Arenaria interpres
Arenaria melanocephala
Argusianus argus
Argya altirostris
Argya aylmeri
Argya caudata
Argya huttoni
Argya earlei
Argya fulva
Argya malcolmi
Argya rubiginosa
Argya squamiceps
Argya subrufa
Arizelocichla chlorigula
Arizelocichla fusciceps
Arizelocichla masukuensis
Arizelocichla milanjensis
Arizelocichla montana
Arizelocichla neumanni
Arizelocichla nigriceps
Arizelocichla milanjensis
Arizelocichla tephrolaema
Arremon abeillei
Arremon assimilis
Arremon atricapillus
Arremon aurantiirostris
Arremon taciturnus
Arremon basilicus
Arremon brunneinucha
Arremon castaneiceps
Arremon costaricensis
Arremon crassirostris
Arremon dorbignii
Arremon flavirostris
Arremon franciscanus
Arremon abeillei
Arremon perijanus
Arremon phaeopleurus
Arremon phygas
Arremon schlegeli
Arremon semitorquatus
Arremon taciturnus
Arremon torquatus
Arremon virenticeps
Arremonops chloronotus
Arremonops conirostris
Arremonops rufivirgatus
Arremonops tocuyensis
Arses insularis
Arses kaupi
Arses lorealis
Arses telescopthalmus
Artamella viridis
Artamus cinereus
Artamus cyanopterus
Artamus fuscus
Artamus insignis
Artamus leucorynchus
Artamus maximus
Artamus mentalis
Artamus minor
Artamus monachus
Artamus personatus
Artamus superciliosus
Artemisiospiza belli
Artemisiospiza nevadensis
Artisornis metopias
Artisornis moreaui
Artisornis moreaui
Arundinax aedon
Arundinicola leucocephala
Asarcornis scutulata
Asemospiza fuliginosa
Asemospiza obscura
Ashbyia lovensis
Asio abyssinicus
Asio capensis
Asio clamator
Asio flammeus
Asio madagascariensis
Asio otus
Asio stygius
Aspatha gularis
Asthenes anthoides
Asthenes dorbignyi
Asthenes ayacuchensis
Asthenes baeri
Asthenes berlepschi
Asthenes coryi
Asthenes dorbignyi
Asthenes flammulata
Asthenes fuliginosa
Asthenes griseomurina
Asthenes harterti
Asthenes helleri
Asthenes heterura
Asthenes dorbignyi
Asthenes hudsoni
Asthenes humilis
Asthenes luizae
Asthenes maculicauda
Asthenes modesta
Asthenes moreirae
Asthenes ottonis
Asthenes palpebralis
Asthenes perijana
Asthenes pudibunda
Asthenes pyrrholeuca
Asthenes urubambensis
Asthenes dorbignyi
Asthenes vilcabambae
Asthenes virgata
Asthenes sclateri
Asthenes wyatti
Astrapia mayeri
Astrapia nigra
Astrapia rothschildi
Astrapia splendidissima
Astrapia stephaniae
Atalotriccus pilaris
Atelornis crossleyi
Atelornis pittoides
Athene blewitti
Athene brama
Athene cunicularia
Athene noctua
Athene superciliaris
Atimastillas flavicollis
Atimastillas flavicollis
Atlapetes albiceps
Atlapetes albinucha
Atlapetes albofrenatus
Atlapetes blancae
Atlapetes canigenis
Atlapetes citrinellus
Atlapetes tricolor
Atlapetes flaviceps
Atlapetes forbesi
Atlapetes fulviceps
Atlapetes fuscoolivaceus
Atlapetes latinuchus
Atlapetes leucopis
Atlapetes leucopterus
Atlapetes melanocephalus
Atlapetes melanolaemus
Atlapetes melanopsis
Atlapetes albofrenatus
Atlapetes nationi
Atlapetes latinuchus
Atlapetes pallidiceps
Atlapetes pallidinucha
Atlapetes leucopterus
Atlapetes personatus
Atlapetes pileatus
Atlapetes rufigenis
Atlapetes rufinucha
Atlapetes schistaceus
Atlapetes seebohmi
Atlapetes semirufus
Atlapetes schistaceus
Atlapetes terborghi
Atlapetes tricolor
Atrichornis clamosus
Atrichornis rufescens
Atronanus fuliginosus
Attagis gayi
Attagis malouinus
Selasphorus ellioti
Selasphorus heloisa
Atticora fasciata
Atticora pileata
Atticora tibialis
Attila bolivianus
Attila cinnamomeus
Attila citriniventris
Attila phoenicurus
Attila rufus
Attila spadiceus
Attila torridus
Augastes lumachella
Augastes scutatus
Aulacorhynchus albivitta
Aulacorhynchus albivitta
Aulacorhynchus prasinus
Aulacorhynchus sulcatus
Aulacorhynchus coeruleicinctis
Aulacorhynchus albivitta
Aulacorhynchus derbianus
Aulacorhynchus haematopygus
Aulacorhynchus huallagae
Aulacorhynchus prasinus
Aulacorhynchus sulcatus
Aulacorhynchus prasinus
Aulacorhynchus whitelianus
Auriparus flaviceps
Automolus infuscatus
Automolus lammi
Automolus leucophthalmus
Automolus melanopezus
Automolus exsertus
Automolus ochrolaemus
Automolus sp.
Automolus paraensis
Automolus rufipileatus
Automolus subulatus
Automolus subulatus
Aviceda cuculoides
Aviceda jerdoni
Aviceda leuphotes
Aviceda madagascariensis
Aviceda subcristata
Avocettula recurvirostris
Aythya affinis
Aythya americana
Aythya australis
Aythya baeri
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya innotata
Aythya marila
Aythya novaeseelandiae
Aythya nyroca
Aythya valisineria
Baeolophus atricristatus
Baeolophus bicolor
Baeolophus inornatus
Baeolophus ridgwayi
Baeolophus wollweberi
Baeopogon clamans
Baeopogon indicator
Balaeniceps rex
Balearica pavonina
Balearica regulorum
Bambusicola fytchii
Bambusicola sonorivox
Bambusicola thoracicus
Bangsia arcaei
Bangsia aureocincta
Bangsia edwardsi
Bangsia flavovirens
Bangsia melanochlamys
Bangsia rothschildi
Barnardius zonarius
Bartramia longicauda
Baryphthengus martii
Baryphthengus ruficapillus
Basileuterus culicivorus
Basileuterus belli
Basileuterus culicivorus
Basileuterus culicivorus
Basileuterus griseiceps
Basileuterus culicivorus
Basileuterus ignotus
Basileuterus lachrymosus
Basileuterus melanogenys
Basileuterus delattrii
Basileuterus rufifrons
Basileuterus trifasciatus
Basileuterus melanotis
Basileuterus tacarcunae
Basileuterus tristriatus
Basilinna leucotis
Basilinna xantusii
Basilornis celebensis
Basilornis corythaix
Basilornis galeatus
Batara cinerea
Bathmocercus cerviniventris
Bathmocercus rufus
Batis capensis
Batis crypta
Batis capensis
Batis diops
Batis erlangeri
Batis fratrum
Batis ituriensis
Batis margaritae
Batis minima
Batis minor
Batis minulla
Batis mixta
Batis molitor
Batis occulta
Batis orientalis
Batis perkeo
Batis poensis
Batis pririt
Batis mixta
Batis senegalensis
Batis soror
Batrachostomus auritus
Batrachostomus cornutus
Batrachostomus harterti
Batrachostomus hodgsoni
Batrachostomus affinis
Batrachostomus chaseni
Batrachostomus javensis
Batrachostomus mixtus
Batrachostomus moniliger
Batrachostomus poliolophus
Batrachostomus septimus
Batrachostomus stellatus
Psittacula longicauda
Berenicornis comatus
Berlepschia rikeri
Bernieria madagascariensis
Bias musicus
Biatas nigropectus
Biziura lobata
Bleda canicapillus
Bleda eximius
Bleda notatus
Bleda syndactylus
Bleda notatus
Blythipicus pyrrhotis
Blythipicus rubiginosus
Tchagra minutus
Boissonneaua flavescens
Boissonneaua jardini
Boissonneaua matthewsii
Bolbopsittacus lunulatus
Bolborhynchus ferrugineifrons
Bolborhynchus lineola
Bolborhynchus orbygnesius
Bolemoreus frenatus
Bolemoreus hindwoodi
Bombycilla cedrorum
Bombycilla garrulus
Bombycilla japonica
Tetrastes bonasia
Tetrastes sewerzowi
Bonasa umbellus
Bostrychia bocagei
Bostrychia carunculata
Bostrychia hagedash
Bostrychia olivacea
Bostrychia rara
Botaurus lentiginosus
Botaurus pinnatus
Botaurus poiciloptilus
Botaurus stellaris
Brachycope anomala
Brachygalba albogularis
Brachygalba goeringi
Brachygalba lugubris
Brachygalba salmoni
Brachypodius melanocephalos
Brachypodius fuscoflavescens
Brachypodius priocephalus
Brachypteracias leptosomus
Brachypteryx cruralis
Brachypteryx montana
Brachypteryx montana
Brachypteryx goodfellowi
Brachypteryx hyperythra
Brachypteryx leucophris
Brachypteryx montana
Brachypteryx montana
Brachypteryx montana
Brachypteryx sinensis
Brachyramphus brevirostris
Brachyramphus marmoratus
Brachyramphus perdix
Bradornis boehmi
Bradornis comitatus
Bradornis fuliginosus
Bradornis mariquensis
Bradornis microrhynchus
Bradornis ussheri
Locustella alfredi
Bradypterus baboecala
Bradypterus bangwaensis
Bradypterus barratti
Bradypterus brunneus
Bradypterus carpalis
Bradypterus baboecala
Bradypterus centralis
Bradypterus cinnamomeus
Bradypterus grandis
Bradypterus graueri
